Volcano Number,Volcano Name,Eruption Number,Eruption Category,Start Year,Start Month,Start Day,End Year,End Month,End Day,Latitude,Longitude,,,,,,,,
241040,Whakaari/White Island,22338,Confirmed Eruption,2019,12,9,2019,12,9,-37.52,177.18,,,,,,,,
311060,Semisopochnoi,22341,Confirmed Eruption,2019,12,7,2020,6,19,51.93,179.58,,,,,,,,
284096,Nishinoshima,22340,Confirmed Eruption,2019,12,5,2020,8,27,27.247,140.874,,,,,,,,
282060,Kikai,22339,Confirmed Eruption,2019,11,2,2019,11,2,30.793,130.305,,,,,,,,
243070,Lateiki,22334,Confirmed Eruption,2019,10,13,2019,10,22,-19.18,-174.87,,,,,,,,
283110,Asamayama,22326,Confirmed Eruption,2019,8,7,2019,8,25,36.406,138.523,,,,,,,,
357090,Copahue,22336,Confirmed Eruption,2019,8,2,2019,11,12,-37.856,-71.183,,,,,,,,
263090,Tangkuban Parahu,22325,Confirmed Eruption,2019,7,26,2019,9,17,-6.77,107.6,,,,,,,,
311360,Shishaldin,22330,Confirmed Eruption,2019,7,23,2020,5,4,54.756,-163.97,,,,,,,,
311060,Semisopochnoi,22328,Confirmed Eruption,2019,7,16,2019,8,24,51.93,179.58,,,,,,,,
252120,Ulawun,22319,Confirmed Eruption,2019,6,26,2019,10,5,-5.05,151.33,,,,,,,,
354020,Ubinas,22324,Confirmed Eruption,2019,6,24,2019,9,12,-16.355,-70.903,,,,,,,,
290250,Raikoke,22321,Confirmed Eruption,2019,6,22,2019,7,1,48.292,153.25,,,,,,,,
233020,"Fournaise, Piton de la",22318,Confirmed Eruption,2019,6,11,2019,10,27,-21.244,55.708,,,,,,,,
311120,Great Sitkin,22322,Confirmed Eruption,2019,6,1,2019,6,7,52.076,-176.13,,,,,,,,
290240,Sarychev Peak,22320,Confirmed Eruption,2019,5,16,2019,10,7,48.092,153.2,,,,,,,,
341040,Colima,22323,Confirmed Eruption,2019,5,11,2019,7,12,19.514,-103.62,,,,,,,,
282110,Asosan,22317,Confirmed Eruption,2019,4,16,2020,6,16,32.884,131.104,,,,,,,,
300260,Klyuchevskoy,22310,Confirmed Eruption,2019,4,9,2021,3,20,56.056,160.642,,,,,,,,
352090,Sangay,22312,Confirmed Eruption,2019,3,26,2021,12,9,-2.005,-78.341,,,,,,,,
344020,San Cristobal,22311,Confirmed Eruption,2019,3,4,2019,3,4,12.702,-87.004,,,,,,,,
233020,"Fournaise, Piton de la",22307,Confirmed Eruption,2019,2,18,2019,3,10,-21.244,55.708,,,,,,,,
263310,Tengger Caldera,22306,Confirmed Eruption,2019,2,18,2019,7,28,-7.942,112.95,,,,,,,,
300130,Karymsky,22309,Confirmed Eruption,2019,2,16,2019,9,24,54.049,159.443,,,,,,,,
345040,Poas,22303,Confirmed Eruption,2019,2,7,2019,9,30,10.2,-84.233,,,,,,,,
261080,Sinabung,22316,Confirmed Eruption,2019,2,6,2019,6,9,3.17,98.392,,,,,,,,
256010,Tinakula,22313,Confirmed Eruption,2018,12,8,2021,11,27,-10.386,165.804,,,,,,,,
267020,Karangetang,22294,Confirmed Eruption,2018,11,25,2021,12,9,2.781,125.407,,,,,,,,
357040,Planchon-Peteroa,22297,Confirmed Eruption,2018,11,7,2019,5,7,-35.223,-70.568,,,,,,,,
282050,Kuchinoerabujima,22296,Confirmed Eruption,2018,10,21,2019,2,3,30.443,130.217,,,,,,,,
268060,Gamalama,22295,Confirmed Eruption,2018,10,4,2018,10,6,0.8,127.33,,,,,,,,
266030,Soputan,22293,Confirmed Eruption,2018,10,2,2018,12,16,1.112,124.737,,,,,,,,
260010,Barren Island,22292,Confirmed Eruption,2018,9,25,2021,8,23,12.278,93.858,,,,,,,,
252120,Ulawun,22286,Confirmed Eruption,2018,9,21,2018,10,12,-5.05,151.33,,,,,,,,
290240,Sarychev Peak,22288,Confirmed Eruption,2018,9,8,2018,10,15,48.092,153.2,,,,,,,,
311060,Semisopochnoi,22289,Confirmed Eruption,2018,9,8,2018,10,31,51.93,179.58,,,,,,,,
312070,Veniaminof,22290,Confirmed Eruption,2018,9,4,2018,12,23,56.17,-159.38,,,,,,,,
290390,Alaid,22281,Confirmed Eruption,2018,8,20,2018,8,21,50.861,155.565,,,,,,,,
352090,Sangay,22283,Confirmed Eruption,2018,8,8,2018,12,7,-2.005,-78.341,,,,,,,,
345020,Rincon de la Vieja,22282,Confirmed Eruption,2018,7,28,2019,6,11,10.83,-85.324,,,,,,,,
284096,Nishinoshima,22280,Confirmed Eruption,2018,7,12,2018,7,21,27.247,140.874,,,,,,,,
